"NOME_CANDIDATO","NOME_URNA_CANDIDATO","COD_GRAU_INSTRUCAO","CODIGO_ESTADO_CIVIL"
"MARCELINO JOSE GUIMARAES SANTANA","MARCELO SANTANA",8,1
"MARCELO DE OLIVEIRA GUIMARAES FILHO","MARCELO GUIMARÃES FILHO",8,1
"MARCIO CARLOS MARINHO","MARCIO MARINHO",7,1
"MARCOS CESAR ALVES SOUTO","MARCOS SOUTO",7,1
"MARIA AUXILIADORA CUNHA CERQUEIRA","PROFESSORA DORA",8,1
"MARIA JOSE GARCIA","MARIAH",7,1
"MARIA OLIVIA SANTANA","OLÍVIA",8,1
"MAURICIO GONCALVES TRINDADE","MAURICIO TRINDADE",8,1
"MESSIAS APARECIDO RODRIGUES","MESSIAS APARECIDO",8,1
"MILTON JOAO SOARES BARBOSA","MILTON BARBOSA",7,1
"MARIO SERGIO DE ARAUJO","MARIO SERGIO",6,1
"MARIO SILVIO MENDES NEGROMONTE","MÁRIO NEGROMONTE",8,1
"NEEMIAS DA COSTA GONCALVES","NEEMIAS GONÇALVES",6,1
"NELSON VICENTE PORTELA PELLEGRINO","PELEGRINO",8,1
"NILZA DA SILVA MARTINS DE LIMA","PROFª NILZA LIMA",6,1
"NIVALDO TEIXEIRA LIMA FILHO","NIVALDO TEIXEIRA",6,1
"NOELSON VIEIRA NUNES","NOEL",4,1
"ONEZILDA MARIA LIMA SORIANO","ZILDA SORIANO",8,1
"OSSESIO JOSE DA SILVA","OSSÉSIO SILVA",6,1
"OTAVIO JOEL DE ARAUJO","SARGENTO JOEL",8,1
"OZEIAS GOMES DA COSTA","OZÉIAS GOMES",8,1
"PAULO BRAGA MIRANDA","PAULO BRAGA",6,1
"PAULO ROBERTO COSTA FEITOSA","PAULO FEITOSA",8,1
"PAULO SERGIO PARANHOS DE MAGALHAES","PAULO MAGALHAES",8,1
"PAULO SERGIO MACEDO LOPES","PAULO SERGIO",4,1
"PEDRO MARCELINO PINTO NETO","PEDRO MARCELINO",6,1
"RAIMUNDO AMARAL AMPARO","AMPARO",5,1
"RANIERI CARVALHO","RANIERI CARVALHO",8,1
"RAYMUNDO VELOSO SILVA","VELOSO",8,1
"REGINALDO DA SILVA GERMANO","PASTOR REGINALDO",7,1
"REINALDO FERREIRA LIMA DE SOUZA","REINALDO LIMA",6,1
"RICARDO EMANUEL LAGO E SILVA","RICARDO EMANUEL",8,1
"RICARDO GREY DE ARAUJO LEMOS","RICARDO GREY",7,1
"RICARDO MORAIS BRITO","RICARDO BOMTRIGO",7,1
"ROBERTO PEREIRA DE BRITTO","ROBERTO BRITTO",8,1
"ROBERTO RAMOS","RAMOS",6,1
"ROMILSON NERY BISPO","ROMILSON BISPO",6,1
"ROMILSON SANTOS DE SOUZA FILHO","ROMILSON SANTOS",7,1
"RUBENS ANTONIO CORREIA","RUBENS CORREIA",6,1
"RUI COSTA DOS SANTOS","RUI COSTA",8,1
"RUI MAGNO DE CARVALHO","RUI MAGNO",8,1
"SALVADOR PEREIRA DE SOUZA","SALVADOR ROGER",4,1
"SERGIO BARRADAS CARNEIRO","SERGIO BARRADAS CARNEIRO",8,1
"SERGIO LUIS LACERDA BRITO","SERGIO BRITO",7,1
"SERGIO RAIMUNDO DE OLIVEIRA RIBEIRO","SERGIO RIBEIRO",8,1
"SEVERIANO ALVES DE SOUZA","SEVERIANO ALVES",8,1
"TADEU RIBEIRO SANCHES","TADEU SANSHES",6,1
"UBIRAJARA TAVARES GOMES DOS SANTOS","BIRA DO JEGUE",3,1
"ULDURICO ALVES PINTO","ULDURICO PINTO",8,1
"VALDEMIRO DA ANUNCIACAO SANTOS LOPES","VALDEMIRO",6,1
"VALFREDO RAMOS RIOS","VALFREDO",6,1
"VANIA DE ALMEIDA SANTOS","VÂNIA SANTOS",6,1
"WALTER DE FREITAS PINHEIRO","PINHEIRO",8,1
"WALTER FERREIRA DA SILVA","WALTER FERREIRA",6,1
"WASHINGTON FERREIRA DOS SANTOS","WASHINGTON FERREIRA",8,1
"WASHINGTON PINTO CARDOSO","WASHINGTON",6,1
"WELLINGTON FONSECA RIBEIRO","WELLINGTON RIBEIRO",8,1
"ALEXANDRE CAMPELO BORGES","ALEXANDRE BORGES",8,1
"ANDRE BARRETO ESMERALDO","ANDRE BARRETO",8,1
"ANDRE PEIXOTO FIGUEIREDO LIMA","ANDRÉ FIGUEIREDO",8,1
"ANTERO NETO SILVA","ANTERO SILVA NETO",8,1
"ANTONIA CORDEIRO CUNHA","ANTONIA CORDEIRO",8,1
"ANTONIO ATILANO SOUSA AYRES DE MOURA","ATILANO",8,1
"ANTONIO CLECIO BATISTA DE OLIVEIRA","CLÉCIO OLIVEIRA",8,1
"ANTONIO COSTA SILVA","TOINHO",6,1
"ANTONIO FERREIRA DA SILVA","FERREIRINHA",4,1
"ANTONIO MANOEL DA COSTA","BARÉ",3,1
"ANTONIO MARCELO TEIXEIRA SOUSA","MARCELO",8,1
"ANTONIO PEREIRA DOS SANTOS","ARY",8,1
"ANTONIO XAVIER DE OLIVEIRA","DR. XAVIER",8,1
"ANIBAL FERREIRA GOMES","ANÍBAL",8,1
"ARISTIDES BRAGA NETO","PROF. ARISTIDES",8,1
"AECIO CARLOS GUNDIM SILVA","AÉCIO GUNDIM",7,1
"BERNARDINO JOSE INACIO LOPES","BERNARDINO",8,1
"BISMARCK COSTA LIMA PINHEIRO MAIA","BISMARCK MAIA",7,1
"CARLOS MATOS LIMA","CARLOS MATOS",8,1
"CARLOS MAURO CABRAL BENEVIDES","MAURO BENEVIDES",8,1
"CIRO FERREIRA GOMES","CIRO GOMES",8,1
"CRISTIANO SOUZA FERREIRA","CRISTIANO PAPEL",7,1
"CANDIDO BEZERRA DA COSTA NETO","BC NETO",8,1
"DALTON LACERDA VIDAL VITAL","DALTON VIDAL",8,1
